Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1742.1211831864857
FDW14,OUT017,1437.1617803864142
NCN55,OUT010,634.0274331680308
FDQ58,OUT017,2418.9169186196714
FDY38,OUT027,6250.162551357436
FDH56,OUT046,1840.43706778948
FDL48,OUT018,694.2677422665114
FDC48,OUT027,2158.500656534428
FDN33,OUT045,1481.3889061982245
FDA36,OUT017,3019.4420186250736
FDT44,OUT017,1964.382925613541
FDQ56,OUT045,1390.6512611666694
NCC54,OUT019,672.9675751530722
FDU11,OUT049,2031.7773994298059
DRL59,OUT013,863.4829714970363
FDM24,OUT049,2480.4474976375595
FDI57,OUT045,3211.9496874015535
DRC12,OUT018,2782.673283149524
NCM42,OUT027,2771.0901946269687
FDA46,OUT010,529.0563076314094
FDA31,OUT013,2843.8394482351473
NCJ31,OUT035,3896.754248924103
FDG52,OUT046,752.7147268670127
NCL19,OUT019,430.34745428411316
FDS10,OUT035,3038.7172409258424
FDX22,OUT010,570.690412976986
NCF19,OUT035,806.8426185381064
NCE06,OUT046,2557.978326410826
DRC27,OUT046,4147.447693764969
FDE21,OUT035,1907.9948640796256
NCR42,OUT019,3.6350967117513306
FDX51,OUT018,2785.7348397366795
NCR06,OUT018,555.0450438280101
FDU31,OUT027,5873.065966245123
FDU59,OUT017,2576.405201868366
FDR03,OUT027,5396.9644038734605
FDS49,OUT027,2196.0806924734657
FDD48,OUT010,311.7887959073598
NCF18,OUT017,3151.390759959113
NCD43,OUT027,2650.2493415253593
NCD54,OUT018,2051.253032727238
FDY19,OUT010,308.76463284692556
NCY54,OUT017,2796.4229954815164
NCL19,OUT018,2006.0485342055206
FDP23,OUT010,579.7986634048813
FDC26,OUT013,1844.9704690565259
FDR14,OUT010,159.42256930482242
NCS41,OUT035,3113.048805530198
FDF41,OUT035,4150.270162073165
FDU34,OUT046,2134.090548452751
DRH11,OUT046,869.6549917559321
FDM03,OUT013,1776.3678328194774
FDS31,OUT017,3081.1825845032035
FDJ20,OUT017,2079.714940948699
FDV44,OUT027,5214.123568404784
FDG02,OUT049,3041.162263351518
FDA09,OUT013,2989.9204562518366
FDT04,OUT013,644.1267762324987
FDL58,OUT019,722.8905378175555
FDE52,OUT045,1457.5640562519584
FDW12,OUT035,2474.2194009630316
FDL51,OUT017,3411.3189845775896
NCY42,OUT027,3560.2154572850777
FDR07,OUT017,1659.7413009423717
FDN40,OUT045,2484.8013826923006
FDB35,OUT027,2526.4630811040643
FDA22,OUT017,2636.9054344973156
NCL06,OUT046,4283.028190676254
FDI35,OUT013,3058.097703767601
NCW42,OUT045,3739.1745471685335
NCX06,OUT049,2993.6339199549757
FDC37,OUT027,2735.7005011942706
FDZ14,OUT018,1781.5630825851936
DRG49,OUT049,4415.747667011874
NCG06,OUT045,3849.540984255206
DRC36,OUT045,2816.1600213483607
FDV21,OUT019,393.99590755370576
FDB53,OUT046,2478.7498588874755
DRP47,OUT019,680.0881865000806
FDA14,OUT013,2345.3354516542727
DRC24,OUT035,2552.6299949676127
FDW21,OUT018,1480.9484323936038
NCH29,OUT046,1537.649784188664
FDU58,OUT013,3085.3794790664806
FDY27,OUT017,2946.2714501361015
FDV56,OUT035,1732.2827609265
FDT59,OUT046,4016.447313945661
FDB23,OUT046,3750.4076824897893
FDR49,OUT045,762.1598558267821
FDB03,OUT010,644.5189865862915
FDN39,OUT045,2656.1738005228394
FDX02,OUT027,5763.550697234151
FDQ16,OUT027,2790.799476369957
FDU35,OUT018,1408.9732665698716
NCT29,OUT013,1920.8328972893908
FDZ27,OUT046,743.5524038040674
FDN57,OUT017,2309.8449006311016
FDA03,OUT018,1926.7193261724215
FDZ36,OUT045,3081.126112854937
NCU05,OUT013,1289.078249616703
FDT39,OUT018,2142.781488871988
FDK60,OUT017,1588.8184444421345
FDZ25,OUT017,2849.8954742363167
FDG12,OUT046,2031.9507933460534
DRB01,OUT019,585.7663682189665
NCC43,OUT027,6335.065987228212
FDX13,OUT019,684.5423399384165
FDM22,OUT049,910.7704130851976
FDJ03,OUT027,1355.40608308448
FDU14,OUT018,3572.174319138907
FDB33,OUT010,470.10859894257715
FDP27,OUT046,3161.270807888873
FDO38,OUT010,245.59114648356996
FDE28,OUT027,6097.193862952682
FDO27,OUT035,1561.1779523786793
DRL23,OUT027,2688.017518379719
FDS28,OUT046,920.4009209850547
FDX24,OUT013,1518.4098507792457
FDZ02,OUT035,1587.935321789394
FDL46,OUT045,1839.9430628858688
FDS60,OUT027,4828.102037210366
NCO06,OUT017,616.8476621811425
FDO16,OUT035,1494.6408928429933
FDC60,OUT049,1463.5611173843572
FDA48,OUT018,3163.323824748345
FDZ36,OUT027,4975.246592882039
FDK27,OUT045,1913.846976153849
FDW23,OUT018,558.6666739257198
FDM14,OUT018,1567.755244092702
FDM14,OUT013,1690.1409345983475
FDW60,OUT018,2472.3484264817635
FDE21,OUT013,1896.750110368659
NCM42,OUT035,1768.0816277909585
FDY59,OUT010,207.4495353540321
DRI49,OUT049,1337.783588597198
FDT28,OUT019,432.8664858826678
FDQ22,OUT018,544.4384817444898
FDR60,OUT049,1298.8667079455918
FDC50,OUT019,282.29084819153996
FDV24,OUT013,2511.2853061703877
DRF48,OUT010,527.4167216676051
FDQ47,OUT046,627.4886309827646
DRN36,OUT049,1618.1773468021022
NCY06,OUT035,2109.6618934105263
FDE52,OUT035,1532.4018208256834
NCB54,OUT045,2045.8704738605556
NCF31,OUT035,2516.3915612377905
FDJ08,OUT027,5135.817364906794
NCC07,OUT017,1691.3563728533018
NCD19,OUT027,1566.3537764346652
FDL46,OUT049,1878.3004361855317
