Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1796.7225643296883
FDW14,OUT017,1660.9294150270794
NCN55,OUT010,617.7255327913654
FDQ58,OUT017,2730.90215033103
FDY38,OUT027,6174.294777962001
FDH56,OUT046,1796.7225643296883
FDL48,OUT018,396.4276065588624
FDC48,OUT027,2288.1363867819305
FDN33,OUT045,1792.1361028186245
FDA36,OUT017,2877.097405912663
FDT44,OUT017,1796.7225643296883
FDQ56,OUT045,1631.509207896313
NCC54,OUT019,486.83525911297806
FDU11,OUT049,1796.7225643296883
DRL59,OUT013,804.2477255757393
FDM24,OUT049,2706.02876472072
FDI57,OUT045,2912.897630929322
DRC12,OUT018,2792.705463791994
NCM42,OUT027,2905.243950383388
FDA46,OUT010,595.0807495846886
FDA31,OUT013,2862.0806663975586
NCJ31,OUT035,3908.847318309793
FDG52,OUT046,803.4803817414812
NCL19,OUT019,849.3154671507982
FDS10,OUT035,2869.0757257892374
FDX22,OUT010,616.5702549563777
NCF19,OUT035,803.4803817414812
NCE06,OUT046,2849.3942637361806
DRC27,OUT046,3908.847318309793
FDE21,OUT035,1796.7225643296883
NCR42,OUT019,390.49011634059354
FDX51,OUT018,2792.705463791994
NCR06,OUT018,396.4276065588624
FDU31,OUT027,5687.721097146367
FDU59,OUT017,2854.3865240781856
FDR03,OUT027,5636.385112986911
FDS49,OUT027,2269.601474142578
FDD48,OUT010,889.1200323882651
NCF18,OUT017,2877.097405912663
NCD43,OUT027,2621.7608859901593
NCD54,OUT018,1226.23426278274
FDY19,OUT010,889.1200323882651
NCY54,OUT017,2862.0806663975586
NCL19,OUT018,2460.5275296623076
FDP23,OUT010,616.5702549563777
FDC26,OUT013,1796.7225643296883
FDR14,OUT010,402.29782131884565
NCS41,OUT035,2877.097405912663
FDF41,OUT035,3908.847318309793
FDU34,OUT046,1796.7225643296883
DRH11,OUT046,811.2999494525291
FDM03,OUT013,1796.7225643296883
FDS31,OUT017,2869.0757257892374
FDJ20,OUT017,1796.7225643296883
FDV44,OUT027,5174.845018632169
FDG02,OUT049,2877.097405912663
FDA09,OUT013,2868.097361372132
FDT04,OUT013,803.4803817414812
FDL58,OUT019,481.04594193234584
FDE52,OUT045,1736.6332760199775
FDW12,OUT035,2684.9398030227426
